Created by:,MLEM,
Model Description:, Model Peroral con Output,
NormalPopulationOption,
Iteration,    'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'SDslope              ', '-2LogLikelihood      ',
0,             0.230000    ,             2.00000    ,             21.0000    ,            0.800000    ,             2.00000    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.100000    ,
1,             0.244522    ,             1.87601    ,             21.1121    ,            0.783641    ,             1.94068    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.722500E-01,
2,             0.245960    ,             1.76286    ,             21.2893    ,            0.791713    ,             1.92167    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.747760E-01,             772.659    ,
3,             0.246057    ,             1.68718    ,             21.4498    ,            0.800902    ,             1.91846    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.727784E-01,             752.893    ,
4,             0.246011    ,             1.63493    ,             21.6097    ,            0.810748    ,             1.92454    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.700229E-01,             737.624    ,
5,             0.245776    ,             1.59841    ,             21.7724    ,            0.819684    ,             1.93751    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.671472E-01,             723.064    ,
6,             0.245402    ,             1.57375    ,             21.9385    ,            0.828386    ,             1.95742    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.643192E-01,             708.240    ,
7,             0.244903    ,             1.55687    ,             22.1087    ,            0.835865    ,             1.98017    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.613955E-01,             693.134    ,
8,             0.244329    ,             1.54546    ,             22.2833    ,            0.843450    ,             2.00644    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.584658E-01,             677.139    ,
9,             0.243721    ,             1.53711    ,             22.4628    ,            0.850862    ,             2.03579    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.554328E-01,             660.312    ,
10,            0.243057    ,             1.53155    ,             22.6471    ,            0.858067    ,             2.06785    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.523862E-01,             642.227    ,
